l,categoryLabel,word
http://www.wikidata.org/entity/L11193,verbe,boire
http://www.wikidata.org/entity/L11937,verbe,oser
http://www.wikidata.org/entity/L12093,verbe,serrer
http://www.wikidata.org/entity/L12359,verbe,moquer
http://www.wikidata.org/entity/L12376,verbe,accepter
http://www.wikidata.org/entity/L13139,verbe,dominer
http://www.wikidata.org/entity/L13142,verbe,éviter
http://www.wikidata.org/entity/L13409,verbe,grossir
http://www.wikidata.org/entity/L13441,verbe,rétrécir
http://www.wikidata.org/entity/L13813,verbe,confier
http://www.wikidata.org/entity/L13851,verbe,bénéficier
http://www.wikidata.org/entity/L13895,verbe,continuer
http://www.wikidata.org/entity/L13923,verbe,supprimer
http://www.wikidata.org/entity/L13929,verbe,dépasser
http://www.wikidata.org/entity/L15123,verbe,augmenter
http://www.wikidata.org/entity/L15297,verbe,écarter
http://www.wikidata.org/entity/L15922,verbe,respirer
http://www.wikidata.org/entity/L15960,verbe,acheter
http://www.wikidata.org/entity/L16017,verbe,cacher
http://www.wikidata.org/entity/L16019,verbe,bercer
http://www.wikidata.org/entity/L16025,verbe,inspirer
http://www.wikidata.org/entity/L17316,verbe,juger
http://www.wikidata.org/entity/L17335,verbe,traîner
http://www.wikidata.org/entity/L17365,verbe,parvenir
http://www.wikidata.org/entity/L17678,verbe,transmettre
http://www.wikidata.org/entity/L19750,verbe,excuser
http://www.wikidata.org/entity/L20503,verbe,précéder
http://www.wikidata.org/entity/L20625,verbe,pratiquer
http://www.wikidata.org/entity/L21476,verbe,dénommer
http://www.wikidata.org/entity/L27388,verbe,reculer
http://www.wikidata.org/entity/L30937,verbe,étirer
http://www.wikidata.org/entity/L9141,verbe,penser
http://www.wikidata.org/entity/L9143,verbe,attendre
http://www.wikidata.org/entity/L10051,verbe,entendre
http://www.wikidata.org/entity/L10068,verbe,souffler
http://www.wikidata.org/entity/L10243,verbe,gagner
http://www.wikidata.org/entity/L10266,verbe,séparer
http://www.wikidata.org/entity/L10355,verbe,convertir
http://www.wikidata.org/entity/L11697,verbe,durer
http://www.wikidata.org/entity/L11906,verbe,chanter
http://www.wikidata.org/entity/L12336,verbe,pencher
http://www.wikidata.org/entity/L12426,verbe,décider
http://www.wikidata.org/entity/L13087,verbe,couper
http://www.wikidata.org/entity/L13886,verbe,statuer
http://www.wikidata.org/entity/L13972,verbe,conduire
http://www.wikidata.org/entity/L15145,verbe,progresser
http://www.wikidata.org/entity/L15148,verbe,décrire
http://www.wikidata.org/entity/L15154,verbe,intervenir
http://www.wikidata.org/entity/L15231,verbe,correspondre
http://www.wikidata.org/entity/L15317,verbe,noter
http://www.wikidata.org/entity/L15971,verbe,refuser
http://www.wikidata.org/entity/L15997,verbe,danser
http://www.wikidata.org/entity/L16018,verbe,briller
http://www.wikidata.org/entity/L16525,verbe,instaurer
http://www.wikidata.org/entity/L17263,verbe,limiter
http://www.wikidata.org/entity/L17300,verbe,interrompre
http://www.wikidata.org/entity/L17369,verbe,offrir
http://www.wikidata.org/entity/L18015,verbe,casser
http://www.wikidata.org/entity/L19323,verbe,intéresser
http://www.wikidata.org/entity/L19474,verbe,restreindre
http://www.wikidata.org/entity/L19493,verbe,combiner
http://www.wikidata.org/entity/L19515,verbe,incomber
http://www.wikidata.org/entity/L21464,verbe,enrichir
http://www.wikidata.org/entity/L21538,verbe,désapprouver
http://www.wikidata.org/entity/L22443,verbe,assainir
http://www.wikidata.org/entity/L22462,verbe,conformer
http://www.wikidata.org/entity/L22478,verbe,décourager
http://www.wikidata.org/entity/L24252,verbe,voler
http://www.wikidata.org/entity/L24643,verbe,disperser
http://www.wikidata.org/entity/L24646,verbe,falsifier
http://www.wikidata.org/entity/L26196,verbe,déménager
http://www.wikidata.org/entity/L27357,verbe,enterrer
http://www.wikidata.org/entity/L27404,verbe,soucier
http://www.wikidata.org/entity/L74,verbe,construire
http://www.wikidata.org/entity/L9194,verbe,avertir
http://www.wikidata.org/entity/L9251,verbe,repartir
http://www.wikidata.org/entity/L9385,verbe,amasser
http://www.wikidata.org/entity/L9414,verbe,salir
http://www.wikidata.org/entity/L9740,verbe,endormir
http://www.wikidata.org/entity/L1886,verbe,avoir
http://www.wikidata.org/entity/L28578,verbe,bouillir
http://www.wikidata.org/entity/L11943,verbe,goûter
http://www.wikidata.org/entity/L27377,verbe,freiner
http://www.wikidata.org/entity/L9426,nom,besoin
http://www.wikidata.org/entity/L10088,verbe,survivre
http://www.wikidata.org/entity/L10252,verbe,employer
http://www.wikidata.org/entity/L10253,verbe,tuer
http://www.wikidata.org/entity/L10257,verbe,perdre
http://www.wikidata.org/entity/L10317,verbe,douter
http://www.wikidata.org/entity/L10356,verbe,imaginer
http://www.wikidata.org/entity/L10373,verbe,recommencer
http://www.wikidata.org/entity/L10622,verbe,raconter
http://www.wikidata.org/entity/L11297,verbe,présider
http://www.wikidata.org/entity/L11895,verbe,tromper
http://www.wikidata.org/entity/L11908,verbe,féliciter
http://www.wikidata.org/entity/L11915,verbe,accorder
http://www.wikidata.org/entity/L12353,verbe,sécher
http://www.wikidata.org/entity/L12406,verbe,revoir
http://www.wikidata.org/entity/L12629,verbe,deviner
http://www.wikidata.org/entity/L12682,verbe,exprimer
http://www.wikidata.org/entity/L12807,verbe,fixer
http://www.wikidata.org/entity/L12867,verbe,représenter
http://www.wikidata.org/entity/L13060,verbe,importer
http://www.wikidata.org/entity/L13373,verbe,devenir
http://www.wikidata.org/entity/L13446,verbe,coucher
http://www.wikidata.org/entity/L13793,verbe,former
http://www.wikidata.org/entity/L13794,verbe,participer
http://www.wikidata.org/entity/L13847,verbe,informer
http://www.wikidata.org/entity/L13913,verbe,régler
http://www.wikidata.org/entity/L13928,verbe,rémunérer
http://www.wikidata.org/entity/L13932,verbe,compléter
http://www.wikidata.org/entity/L15009,verbe,enrager
http://www.wikidata.org/entity/L15164,verbe,appartenir
http://www.wikidata.org/entity/L15212,verbe,inclure
http://www.wikidata.org/entity/L15262,verbe,saisir
http://www.wikidata.org/entity/L15321,verbe,enlever
http://www.wikidata.org/entity/L15322,verbe,disputer
http://www.wikidata.org/entity/L15474,verbe,remplir
http://www.wikidata.org/entity/L15478,verbe,prévenir
http://www.wikidata.org/entity/L15512,verbe,subir
http://www.wikidata.org/entity/L15895,verbe,approcher
http://www.wikidata.org/entity/L15939,verbe,traverser
http://www.wikidata.org/entity/L15962,verbe,surprendre
http://www.wikidata.org/entity/L16048,verbe,avaler
http://www.wikidata.org/entity/L16052,verbe,décorer
http://www.wikidata.org/entity/L16366,verbe,dater
http://www.wikidata.org/entity/L16419,verbe,télécharger
http://www.wikidata.org/entity/L17339,verbe,pénétrer
http://www.wikidata.org/entity/L17591,verbe,dériver
http://www.wikidata.org/entity/L17649,verbe,entreprendre
http://www.wikidata.org/entity/L17690,verbe,remonter
http://www.wikidata.org/entity/L18019,verbe,habiller
http://www.wikidata.org/entity/L1882,verbe,être
http://www.wikidata.org/entity/L19034,verbe,anticiper
http://www.wikidata.org/entity/L19389,verbe,engendrer
http://www.wikidata.org/entity/L19484,verbe,reposer
http://www.wikidata.org/entity/L19494,verbe,renseigner
http://www.wikidata.org/entity/L19498,verbe,spécialiser
http://www.wikidata.org/entity/L20482,verbe,ménager
http://www.wikidata.org/entity/L20621,verbe,détenir
http://www.wikidata.org/entity/L20630,verbe,concerter
http://www.wikidata.org/entity/L20633,verbe,récolter
http://www.wikidata.org/entity/L20647,verbe,manipuler
http://www.wikidata.org/entity/L20649,verbe,révéler
http://www.wikidata.org/entity/L20660,verbe,perturber
http://www.wikidata.org/entity/L21034,verbe,prolonger
http://www.wikidata.org/entity/L21138,verbe,confondre
